date,equity,drawdown,position,xgb_signal,ppo_signal,sentiment_signal
0,1.0,0.0,0,-1,1,1
1,1.0,0.0,0,1,0,1
2,1.0,0.0,0,-1,0,1
3,1.0,0.0,0,1,0,1
4,1.0,0.0,0,-1,1,1
5,1.0,0.0,0,0,1,1
6,1.0,0.0,0,-1,1,1
7,1.0,0.0,0,-1,1,1
8,1.0,0.0,0,-1,0,1
9,1.0,0.0,0,-1,0,1
10,1.0,0.0,0,1,0,1
11,1.0,0.0,0,1,0,1
12,1.0,0.0,0,-1,1,1
13,1.0,0.0,0,1,0,1
14,1.0,0.0,0,-1,0,1
15,1.0,0.0,0,-1,1,1
16,1.0,0.0,0,-1,0,1
17,1.0,0.0,0,-1,0,1
18,1.0,0.0,0,-1,0,1
19,1.0,0.0,0,1,0,1
20,1.0,0.0,0,-1,0,1
21,1.0,0.0,0,-1,0,1
22,1.0,0.0,0,-1,0,1
23,1.0,0.0,0,1,0,1
24,1.0285200541237929,0.0,1,1,1,1
25,1.0444554113654279,0.0,1,1,1,1
26,1.0434109559540625,-0.0009999999999999068,0,-1,1,1
27,1.0250824004279158,-0.018548432730302527,1,1,1,1
28,1.0264766891698633,-0.01721348944141209,1,1,1,1
29,1.0387391942310966,-0.0054729163850645995,1,1,1,1
30,1.051287697448627,0.0,1,1,1,1
31,1.054040477432986,0.0,1,1,1,1
32,1.0529864369555528,-0.0010000000000000811,0,-1,1,1
33,1.0529864369555528,-0.0010000000000000811,0,-1,1,1
34,1.044204765417313,-0.009331436720178748,1,1,1,1
35,1.0431605606518957,-0.01032210528345859,0,-1,1,1
36,1.0431605606518957,-0.01032210528345859,0,-1,1,1
37,1.0431605606518957,-0.01032210528345859,0,-1,-1,1
38,1.0431605606518957,-0.01032210528345859,0,-1,0,1
39,1.0431605606518957,-0.01032210528345859,0,-1,0,1
40,1.0431605606518957,-0.01032210528345859,0,-1,0,1
41,1.0431605606518957,-0.01032210528345859,0,-1,0,1
42,1.0431605606518957,-0.01032210528345859,0,1,0,1
43,1.0431605606518957,-0.01032210528345859,0,-1,1,1
44,1.0431605606518957,-0.01032210528345859,0,-1,1,1
45,1.0431605606518957,-0.01032210528345859,0,-1,0,1
46,1.0431605606518957,-0.01032210528345859,0,-1,0,1
47,1.0431605606518957,-0.01032210528345859,0,1,0,1
48,1.0431605606518957,-0.01032210528345859,0,-1,1,1
49,1.0431605606518957,-0.01032210528345859,0,1,0,1
50,1.0431605606518957,-0.01032210528345859,0,-1,1,1
51,1.0431605606518957,-0.01032210528345859,0,-1,0,1
52,1.0431605606518957,-0.01032210528345859,0,-1,1,1
53,1.0431605606518957,-0.01032210528345859,0,-1,1,1
54,0.9874012655418737,-0.06322263074128387,1,1,1,1
55,0.9864138642763318,-0.06415940811054258,0,-1,1,1
56,0.9864138642763318,-0.06415940811054258,0,1,0,1
57,1.0516495397035905,-0.0022683547554248184,1,1,1,1
58,1.050597890163887,-0.0032660864006693,0,-1,1,1
59,1.050597890163887,-0.0032660864006693,0,-1,1,1
60,1.050597890163887,-0.0032660864006693,0,-1,1,1
61,1.0148921541069802,-0.03714119539445741,1,1,1,1
62,1.0138772619528733,-0.03810405419906286,0,-1,1,1
63,1.0138772619528733,-0.03810405419906286,0,-1,1,1
64,1.0100481870176126,-0.04173681310846081,1,1,1,1
65,1.009038138830595,-0.0426950762953524,0,-1,1,1
66,0.9963583009750657,-0.05472482100345858,1,1,1,1
67,0.9953619426740906,-0.055670096182455164,0,-1,1,1
68,0.9953619426740906,-0.055670096182455164,0,-1,1,1
69,0.9614709808252303,-0.08782347413564201,1,1,1,1
70,0.9766893019181632,-0.07338539379740337,1,1,1,1
71,1.0234730077665442,-0.02900028065419829,1,1,1,1
72,1.0224495347587776,-0.029971280373544056,0,-1,1,1
73,1.0161249337837448,-0.03597162012371741,1,1,1,1
74,1.1198027183557964,0.0,1,1,1,1
75,1.12579760391214,0.0,1,1,1,1
76,1.1636554284466027,0.0,1,1,1,1
77,1.162491773018156,-0.001000000000000043,0,-1,1,1
78,1.162491773018156,-0.001000000000000043,0,-1,1,1
79,1.1603524192281967,-0.0028384770419671197,1,1,1,1
80,1.1591920668089684,-0.0038356385649252365,0,-1,1,1
81,1.1336788320974556,-0.025760715428590233,1,1,1,1
